1.0,1.25,6
1.25,1.375,Legato
1.375,1.75,Staccato
4.0,4.25,6
4.25,4.375,Legato
4.375,4.75,Staccato
6.5,7.5,6
7.75,9.0,48
10.0,10.75,6
13.0,13.25,6
13.25,13.375,Legato
13.375,13.75,Staccato
16.0,16.75,6
16.75,17.5,Legato
18.5,19.25,6
19.5,20.0,48
20.0,20.25,Staccato
20.25,21.5,Legato
22.0,22.5,48
25.0,25.75,6
25.75,28.5,Legato
29.25,30.0,48
31.0,31.75,6
31.75,34.5,Legato
35.25,36.0,48
37.0,37.5,6
37.5,38.5,Legato
40.0,40.75,6
40.75,41.5,Legato
42.5,42.625,48
42.625,42.875,Staccato
42.875,47.0,Legato
